Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Aleksandr Kazakevic,Lithuania,26,176,74,M,06/12/1986,Wrestling,Men's 74kg Greco-Roman,YES,,,1
Aleksandr Lipatov,Russian Federation,31,185,76,M,06/10/1981,Canoe Slalom,Men's Canoe Single (C1),,,,
Aleksandr Menkov,Russian Federation,21,178,74,M,12/07/1990,Athletics,Men's Long Jump,,,,
Aleksandr Onishchenko,Ukraine,43,175,76,M,3/31/1969,Equestrian,Individual Jumping; Team Jumping; COMTE D'ARSOUILLES,,,,
Aleksandr Petrov,Russian Federation,25,187,79,M,08/09/1986,Athletics,Men's Long Jump,,,,
Aleksandr Shustov,Russian Federation,28,199,85,M,6/29/1984,Athletics,Men's High Jump,,,,
Aleksandra Cotti,Italy,23,166,64,F,12/13/1988,Water Polo,Women's Water Polo,,,,
Aleksandra Dawidowicz,Poland,25,167,57,F,02/04/1987,Cycling - Mountain Bike,Women's Cross-country,,,,
Aleksandra Fedoriva,Russian Federation,23,175,60,F,9/13/1988,Athletics,Women's 200m; Women's 4 x 100m Relay,,,,
Aleksandra J Klejnowska-Krzywanska,Poland,29,156,53,F,12/17/1982,Weightlifting,Women's 53kg,,,,
Aleksandra Kotlyarova,Uzbekistan,23,175,60,F,10/10/1988,Athletics,Women's Triple Jump,,,,
Aleksandra Privalova,Belarus,24,178,70,F,10/29/1987,Table Tennis,Women's Singles,,,,
Aleksandra Putra,Poland,25,181,65,F,9/20/1986,Swimming,Women's 4x200m Freestyle Relay,,,,
Aleksandra Wozniak,Canada,24,175,63,F,09/07/1987,Tennis,Women's Singles; Women's Doubles,,,,
Aleksandrs Samoilovs,Latvia,27,195,92,M,04/06/1985,Beach Volleyball,Men's Beach Volleyball,,,,
Aleksei Gavrilovich,Belarus,22,183,79,M,01/05/1990,Football,Men's Football,,,,
Aleksei Kozlov,Belarus,23,176,66,M,07/11/1989,Football,Men's Football,,,,
Aleksejs Rumjancevs,Latvia,26,185,86,M,2/13/1986,Canoe Sprint,Men's Kayak Double (K2) 200m,,,,
Aleksejs Saramotins,Latvia,30,184,75,M,04/08/1982,Cycling - Road,Men's Road Race,,,,
Aleksey Dremin,Russian Federation,23,186,80,M,05/10/1989,Athletics,Men's 110m Hurdles,,,,
Aleksey Zagornyi,Russian Federation,34,197,135,M,5/31/1978,Athletics,Men's Hammer Throw,,,,
Alena Amialiusik,Belarus,23,169,53,F,02/06/1989,Cycling - Road,Women's Road Race,,,,
Alena Danilochkina,Russian Federation,26,186,70,F,1/27/1986,Basketball,Women's Basketball,,,,
Alena Dylko,Belarus,23,162,62,F,9/14/1988,Cycling - Track,Women's Team Pursuit,,,,
Alena Hanusova,Czech Republic,21,190,83,F,5/29/1991,Basketball,Women's Basketball,,,,
Alena Kiyevich,Belarus,24,165,60,F,10/06/1987,Athletics,Women's 4 x 400m Relay,,,,
Alena Matoshka,Belarus,30,177,80,F,6/23/1982,Athletics,Women's Hammer Throw,,,,
Alena Tseliapushkina,Belarus,43,165,58,F,1/22/1969,Equestrian,Individual Eventing; PASSAT,,,,
Aleni Smith,Samoa,29,183,73,M,12/05/1982,Judo,Men's -73kg,,,,
Alesia Zaitsava,Belarus,26,162,60,F,8/14/1985,Badminton,Women's Singles,,,,
Alessandra Aguilar,Spain,34,165,50,F,07/01/1978,Athletics,Women's Marathon,,,,
Alessandra Perilli,San Marino,24,170,75,F,04/01/1988,Shooting,Women's Trap,,,,
Alessandra Sensini,Italy,42,167,58,F,1/26/1970,Sailing,Women's RS-X,,,,
Alessandro Fabian,Italy,24,186,75,M,01/07/1988,Triathlon,Men's Triathlon,,,,
Alessandro Fei,Italy,33,204,90,M,11/29/1978,Volleyball,Men's Volleyball,,,,
Alessia Filippi,Italy,25,186,63,F,6/23/1987,Swimming,Women's 200m Backstroke,,,,
Alessio Sartori,Italy,35,202,100,M,11/13/1976,Rowing,Men's Double Sculls,YES,,0.5,
Alethea Nevada Sedgman,Australia,18,179,65,F,1/24/1994,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,,,,
Alex Bogomolov Jr,Russian Federation,29,178,77,M,4/23/1983,Tennis,Men's Singles,,,,
Alex Bruce,Canada,22,182,75,F,5/27/1990,Badminton,Women's Doubles,,,,
Alex Danson,Great Britain,27,171,56,F,5/21/1985,Hockey,Women's Hockey,,,,
Alex di Giorgio,Italy,22,185,75,M,7/28/1990,Swimming,Men's 4x200m Freestyle Relay,,,,
Alex Feneridis,New Zealand,22,186,77,M,11/13/1989,Football,Men's Football,,,,
Alex Garcia,Brazil,32,192,102,M,03/04/1980,Basketball,Men's Basketball,,,,
Alex Genest,Canada,26,178,61,M,6/30/1986,Athletics,Men's 3000m Steeplechase,,,,
Alex Giorgetti,Italy,24,187,78,M,12/24/1987,Water Polo,Men's Water Polo,,,,
Alex Gregory,Great Britain,28,198,98,M,03/11/1984,Rowing,Men's Four,YES,0.25,,
Alex Haas,Australia,17,171,63,M,02/11/1995,Canoe Sprint,Men's Canoe Double (C2) 1000m,,,,
Alex McCarthy,Great Britain,22,193,88,M,12/03/1989,Football,Men's Football,,,,
Alex Meyer,United States of America,24,178,75,M,07/05/1988,Swimming,Men's 10km Marathon,,,,
Alex Misael Suligoy,Argentina,21,180,90,M,12/03/1990,Shooting,Men's 50m Rifle Prone,,,,
Alex Morgan,United States of America,23,173,62,F,07/02/1989,Football,Women's Football,YES,0.09,,
Alex Parsonage,Great Britain,27,180,87,M,4/30/1985,Water Polo,Men's Water Polo,,,,
Alex Partridge,Great Britain,31,193,93,M,1/25/1981,Rowing,Men's Eight,YES,,,0.111
Alex Quinonez,Ecuador,22,176,65,M,08/11/1989,Athletics,Men's 200m,,,,
Alex Rutlidge,Great Britain,23,170,62,F,11/12/1988,Water Polo,Women's Water Polo,,,,
Alex Sandro Lobo Silva,Brazil,21,179,79,M,1/26/1991,Football,Men's Football,,,,
Alex Schwazer,Italy,27,187,70,M,12/26/1984,Athletics,Men's 50km Race Walk,,,,
Alex Scott,Great Britain,27,163,59,F,10/14/1984,Football,Women's Football,,,,
Alex Wilson,Switzerland,21,182,78,M,9/19/1990,Athletics,Men's 200m,,,,
Alexa Komarnycky,Canada,22,180,68,F,10/05/1989,Swimming,Women's 800m Freestyle,,,,
Alexander Bryukhankov,Russian Federation,25,186,76,M,04/12/1987,Triathlon,Men's Triathlon,,,,
Alexander Bury,Belarus,24,203,93,M,9/14/1987,Tennis,Men's Doubles,,,,
Alexander Butko,Russian Federation,26,198,97,M,3/18/1986,Volleyball,Men's Volleyball,,,,
Alexander Dyachenko,Russian Federation,22,180,85,M,1/24/1990,Canoe Sprint,Men's Kayak Double (K2) 200m,,,,
Alexander Edmondson,Australia,18,182,75,M,12/22/1993,Cycling - Track,Men's Team Pursuit,,,,
Alexander Gehbauer,Austria,22,187,67,M,4/24/1990,Cycling - Mountain Bike,Men's Cross-country,,,,
Alexander Horst,Austria,29,185,88,M,12/20/1982,Beach Volleyball,Men's Beach Volleyball,,,,
Alexander John,Germany,26,185,82,M,05/03/1986,Athletics,Men's 110m Hurdles,,,,
Alexander Kirkland,Bermuda,29,,,M,02/11/1983,Sailing,Men's 49er,,,,
Alexander Kosenkow,Germany,35,178,72,M,3/14/1977,Athletics,Men's 4 x 100m Relay,,,,
Alexander Kristoff,Norway,25,,,M,07/05/1987,Cycling - Road,Men's Road Race,YES,,,1
Alexander Lopez,Honduras,20,170,70,M,06/05/1992,Football,Men's Football,,,,
Alexander Massialas,United States of America,18,191,76,M,4/20/1994,Fencing,Men's Individual Foil; Men's Team Foil,,,,
Alexander Mikhaylin,Russian Federation,32,195,115,M,8/18/1979,Judo,Men's +100kg,YES,,1,
Alexander Ndoumbou,Gabon,20,179,70,M,01/04/1992,Football,Men's Football,,,,
Alexander Osborne,United States of America,25,191,95,M,05/04/1987,Rowing,Men's Quadruple Sculls,,,,
Alexander Peternell,South Africa,31,181,76,M,02/11/1981,Equestrian,Individual Eventing; ASIH,,,,
Alexander Petersson,Iceland,32,189,93,M,07/02/1980,Handball,Men's Handball,,,,
Alexander Peya,Austria,32,182,82,M,6/27/1980,Tennis,Men's Doubles,,,,
Alexander Serov,Russian Federation,29,189,76,M,11/12/1982,Cycling - Track,Men's Team Pursuit,,,,
Alexander Shatilov,Israel,25,183,,M,3/22/1987,Gymnastics - Artistic,Men's Individual All-Around; Men's Qualification,,,,
Alexander Shibaev,Russian Federation,21,194,77,M,09/09/1990,Table Tennis,Men's Singles; Men's Team,,,,
Alexander Smith,Great Britain,24,183,115,M,03/06/1988,Athletics,Men's Hammer Throw,,,,
Alexander Sukhorukov,Russian Federation,24,197,92,M,2/22/1988,Swimming,Men's 4x200m Freestyle Relay,,,,
Alexander Tikhonov,Russian Federation,24,183,83,M,05/04/1988,Swimming,Men's 200m Individual Medley; Men's 400m Individual Medley,,,,
Alexander Volkov,Russian Federation,27,210,95,M,2/14/1985,Volleyball,Men's Volleyball,,,,
Alexandr Dyadchuk,Kazakhstan,29,183,87,M,02/05/1983,Canoe Sprint,Men's Canoe Single (C1) 1000m; Men's Canoe Single (C1) 200m,,,,
Alexandr Ivanov,Russian Federation,23,176,94,M,7/22/1989,Weightlifting,Men's 94kg,YES,,1,
Alexandr Kolobnev,Russian Federation,31,174,64,M,05/04/1981,Cycling - Road,Men's Road Race,,,,
Alexandr Nikolaenko,Russian Federation,32,190,78,M,06/06/1980,Badminton,Mixed Doubles,,,,
Alexandr Shvedov,Kazakhstan,39,197,85,M,04/11/1973,Water Polo,Men's Water Polo,,,,
Alexandr Tarabrin,Kazakhstan,27,188,75,M,4/24/1985,Swimming,Men's 100m Backstroke; Men's 200m Backstroke,,,,
Alexandr Vinokurov,Kazakhstan,38,176,69,M,9/16/1973,Cycling - Road,Men's Individual Time Trial; Men's Road Race,YES,1,,
Alexandr Zaichikov,Kazakhstan,19,,105,M,8/17/1992,Weightlifting,Men's 105kg,,,,
Alexandra Antonova,Russian Federation,20,170,55,F,12/22/1991,Water Polo,Women's Water Polo,,,,
Alexandra Bujdoso,Germany,22,160,53,F,03/05/1990,Fencing,Women's Individual Sabre,,,,
Alexandra Engelhardt,Germany,29,160,55,F,12/29/1982,Wrestling,Women's 48kg Freestyle,,,,
Alexandra Engen,Sweden,24,175,65,F,01/05/1988,Cycling - Mountain Bike,Women's Cross-country,,,,
Alexandra Fisher,Kazakhstan,24,174,63,F,06/03/1988,Athletics,Women's Shot Put,,,,
Alexandra Hagan,Australia,21,180,76,F,3/21/1991,Rowing,Women's Eight,,,,
Alexandra Lacrabere,France,25,177,77,F,4/27/1987,Handball,Women's Handball,,,,
Alexandra Landry,Canada,18,170,,F,02/10/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Alexandra Merkulova,Russian Federation,16,171,,F,11/25/1995,Gymnastics - Rhythmic,Individual All-Around,,,,
Alexandra Nascimento,Brazil,30,177,67,F,9/16/1981,Handball,Women's Handball,,,,
Alexandra Papayeoryiou,Greece,31,175,75,F,12/17/1980,Athletics,Women's Hammer Throw,,,,
Alexandra Patskevich,Russian Federation,23,169,,F,11/04/1988,Synchronised Swimming,Women's Teams,,,,
Alexandra Podryadova,Kazakhstan,23,160,48,F,05/11/1989,Judo,Women's -48kg,,,,
Alexandra Raisman,United States of America,18,157,,F,5/25/1994,Gymnastics - Artistic,Women's Floor Exercise; Women's Beam; Women's Individual All-Around; Women's Team; Women's Qualification,YES,1.2,,1
Alexandra Razarenova,Russian Federation,22,169,55,F,7/17/1990,Triathlon,Women's Triathlon,,,,
Alexandra Tsiavou,Greece,26,178,61,F,9/26/1985,Rowing,Women's Lightweight Double Sculls,YES,,,0.5
Alexandra Wenk,Germany,17,179,61,F,02/07/1995,Swimming,Women's 100m Butterfly; Women's 4x100m Medley Relay,,,,
Alexandre Bouzaid,Senegal,31,172,64,M,6/26/1981,Fencing,Men's Individual Epee,,,,
Alexandre de Saedeleer,Belgium,24,183,77,M,11/14/1987,Hockey,Men's Hockey,,,,
Alexandre Despatie,Canada,27,173,76,M,06/08/1985,Diving,Men's 3m Springboard; Men's Synchronised 3m Springboard,,,,
Alexandre Emond,Canada,28,186,90,M,5/25/1984,Judo,Men's -90kg,,,,
Alexandre Fabregas,Spain,31,184,83,M,10/25/1980,Hockey,Men's Hockey,,,,
Alexandre Liess,Switzerland,21,181,75,M,6/20/1991,Swimming,Men's 200m Butterfly,,,,
Alexandre Rodrigues Da Silva,Brazil,22,180,77,M,09/02/1989,Football,Men's Football,,,,
Alexandros Nikolaidis,Greece,32,200,,M,10/17/1979,Taekwondo,Men's +80kg,,,,
Alexandros Papadimitriou,Greece,39,183,120,M,6/18/1973,Athletics,Men's Hammer Throw,,,,
Alexandros Papamihail,Greece,23,175,62,M,9/18/1988,Athletics,Men's 20km Race Walk; Men's 50km Race Walk,,,,
Alexandru Coci,Romania,22,174,70,M,10/31/1989,Swimming,Men's 200m Butterfly,,,,
Alexandru Ghiban,Romania,25,196,96,M,10/12/1986,Water Polo,Men's Water Polo,,,,
Alexandru Matei,Romania,31,195,95,M,12/31/1980,Water Polo,Men's Water Polo,,,,
Alexandru Siriteanu,Romania,28,182,81,M,16/04/1984 (ROU),Fencing,Men's Team Sabre,,,,
Alexei Bel,Cuba,22,,,M,6/18/1990,Wrestling,Men's 74kg Greco-Roman,,,,
Alexei Kamenski,Russian Federation,29,170,66,M,01/11/1983,Shooting,Men's 10m Air Rifle,,,,
Alexei Klimov,Russian Federation,36,182,77,M,8/27/1975,Shooting,Men's 25m Rapid Fire Pistol,,,,
Alexey Alipov,Russian Federation,36,175,85,M,08/07/1975,Shooting,Men's Trap,,,,
Alexey Cheremisinov,Russian Federation,27,180,78,M,07/09/1985,Fencing,Men's Individual Foil; Men's Team Foil,,,,
Alexey Denisenko,Russian Federation,18,180,,M,8/30/1993,Taekwondo,Men's -58kg,YES,,,1
Alexey Dergunov,Kazakhstan,27,190,90,M,9/16/1984,Canoe Sprint,Men's Kayak Double (K2) 1000m; Men's Kayak Double (K2) 200m,,,,
Alexey Khovanskiy,Russian Federation,25,186,80,M,09/06/1987 (RUS),Fencing,Men's Team Foil,,,,
Alexey Korovashkov,Russian Federation,20,181,82,M,04/01/1992,Canoe Sprint,Men's Canoe Double (C2) 1000m,YES,,,0.5
Alexey Markov,Russian Federation,33,181,81,M,5/26/1979,Cycling - Track,Men's Team Pursuit,,,,
Alexey Obmochaev,Russian Federation,23,188,90,M,5/22/1989,Volleyball,Men's Volleyball,,,,
Alexey Panfili,Kazakhstan,38,198,98,M,01/05/1974,Water Polo,Men's Water Polo,,,,
Alexey Shmider,Kazakhstan,22,183,81,M,3/19/1990,Water Polo,Men's Water Polo,,,,
Alexey Shved,Russian Federation,23,198,84,M,12/16/1988,Basketball,Men's Basketball,,,,
Alexey Smirnov,Russian Federation,34,174,70,M,10/09/1977,Table Tennis,Men's Singles; Men's Team,,,,
Alexey Svirin,Russian Federation,33,202,104,M,12/15/1978,Rowing,Men's Quadruple Sculls,,,,
Alexey Yakimenko,Russian Federation,28,184,79,M,10/31/1983,Fencing,Men's Individual Sabre; Men's Team Sabre,,,,
Alexia Kyriazi,Greece,16,170,,F,12/15/1995,Gymnastics - Rhythmic,Group All-Around,,,,
Alexianne Castel,France,22,180,76,F,7/25/1990,Swimming,Women's 100m Backstroke; Women's 200m Backstroke,,,,
Alexis Copello,Cuba,26,,,M,08/12/1985,Athletics,Men's Triple Jump,,,,
Alexis G Martinez,Mexico,21,161,51,F,5/19/1991,Shooting,Women's 50m Rifle 3 Positions,,,,
Alexis Gonzalez,Argentina,31,184,83,M,7/21/1981,Volleyball,Men's Volleyball,,,,
Alexis Pritchard,New Zealand,28,178,,F,9/24/1983,Boxing,Women's Light (60kg),,,,
Alfonso Benavidez Lopez de Ayala,Spain,21,181,84,M,03/09/1991,Canoe Sprint,Men's Canoe Single (C1) 200m,,,,
Alfredo Mejia,Honduras,22,170,70,M,04/03/1990,Football,Men's Football,,,,
Alhaji Jeng,Sweden,30,185,80,M,12/13/1981,Athletics,Men's Pole Vault,,,,
Ali Ahmed Al-Amri,Saudi Arabia,27,,,M,1/29/1985,Athletics,Men's 3000m Steeplechase,,,,
Ali Hasan Mahboob,Bahrain,30,175,70,M,12/31/1981,Athletics,Men's 10;000m,,,,
Ali Khaseif Housani,United Arab Emirates,25,182,85,M,06/09/1987,Football,Men's Football,,,,
Ali Khousrof,Yemen,20,170,60,M,03/05/1992,Judo,Men's -60kg,,,,
Ali Mabkhout Al Hajeri,United Arab Emirates,21,176,71,M,10/05/1990,Football,Men's Football,,,,
Ali Mabrouk El Zaidi,Libya,34,173,59,M,1/13/1978,Athletics,Men's Marathon,,,,
Ali Mazaheri,Islamic Republic of Iran,30,189,,M,3/31/1982,Boxing,Men's Heavy (91kg),,,,
Ali Mohamed Al-Zinkawi,Kuwait,28,195,110,M,2/27/1984,Athletics,Men's Hammer Throw,,,,
Ali Nadhim Salman Salman,Iraq,30,190,120,M,12/15/1981,Wrestling,Men's 120kg Greco-Roman,,,,
Ali Riley,New Zealand,24,163,54,F,10/30/1987,Football,Women's Football,,,,
Ali Salem Ahmed Faraj Alameri,United Arab Emirates,23,175,73,M,01/07/1989,Football,Men's Football,,,,
Ali Shabanau,Belarus,22,170,66,M,8/25/1989,Wrestling,Men's 66kg Freestyle,,,,
Ali Sue Bernard,United States of America,26,173,72,F,04/11/1986,Wrestling,Women's 72kg Freestyle,,,,
Ali Traore,France,27,206,114,M,2/28/1985,Basketball,Men's Basketball,,,,
Alia Atkinson,Jamaica,23,173,71,F,12/11/1988,Swimming,Women's 50m Freestyle; Women's 100m Breaststroke; Women's 200m Breaststroke,,,,
Aliaksandr Bahdanovich,Belarus,30,193,100,M,4/29/1982,Canoe Sprint,Men's Canoe Double (C2) 1000m,YES,,0.5,
Aliaksandr Buikevich,Belarus,27,191,75,M,11/19/1984,Fencing,Men's Individual Sabre; Men's Team Sabre,,,,
Aliaksandr Faminou,Belarus,27,187,80,M,10/13/1984,Equestrian,Individual Eventing; PASIANS,,,,
Aliaksandr Kazubouski,Belarus,30,198,108,M,12/20/1981,Rowing,Men's Four,,,,
Aliaksandr Kikiniou,Belarus,32,177,74,M,04/09/1980,Wrestling,Men's 74kg Greco-Roman,,,,
Aliaksandr Makaranka,Belarus,22,178,94,M,02/02/1990,Weightlifting,Men's 94kg,,,,
Aliaksandra Herasimenia,Belarus,26,175,60,F,12/31/1985,Swimming,Women's 50m Freestyle; Women's 100m Freestyle; Women's 100m Butterfly; Women's 4x100m Freestyle Relay,YES,,2,
Aliaksandra Narkevich,Belarus,17,172,,F,12/22/1994,Gymnastics - Rhythmic,Group All-Around,,,,
Aliaksei Likhacheuski,Belarus,22,189,86,M,28/06/1990 (BLR),Fencing,Men's Team Sabre,,,,
Aliann Pompey,Guyana,34,168,55,F,03/09/1978,Athletics,Women's 400m,,,,
Alican Kaynar,Turkey,23,191,97,M,10/30/1988,Sailing,Men's Finn,,,,
Alice Mizzau,Italy,19,180,65,F,3/18/1993,Swimming,Women's 4x100m Freestyle Relay; Women's 4x200m Freestyle Relay; Women's 4x100m Medley Relay,,,,
Alice Nesti,Italy,23,180,72,F,7/18/1989,Swimming,Women's 4x200m Freestyle Relay,,,,
Alice Schlesinger,Israel,24,165,63,F,5/26/1988,Judo,Women's -63kg,,,,
Alice Schmidt,United States of America,30,180,66,F,10/03/1981,Athletics,Women's 800m,,,,
Alicia Blagg,Great Britain,15,167,60,F,10/21/1996,Diving,Women's Synchronised 3m Springboard,,,,
Alicia Cebrian Martinez de Lagos,Spain,29,168,63,F,02/03/1983,Sailing,Women's Laser Radial,,,,
Alicia Coutts,Australia,24,176,69,F,9/14/1987,Swimming,Women's 100m Butterfly; Women's 200m Individual Medley; Women's 4x100m Freestyle Relay; Women's 4x200m Freestyle Relay; Women's 4x100m Medley Relay,YES,0.25,1.5,1
Alicia Mccormack,Australia,29,168,72,F,06/07/1983,Water Polo,Women's Water Polo,YES,,,0.076
Alicja Rosolska,Poland,26,166,53,F,12/01/1985,Tennis,Women's Doubles,,,,
Alicja Tchorz,Poland,19,177,67,F,8/13/1992,Swimming,Women's 100m Backstroke; Women's 200m Backstroke,,,,
Alim Selimau,Belarus,29,176,84,M,1/26/1983,Wrestling,Men's 84kg Greco-Roman,,,,
Alin Alexuc-Ciurariu,Romania,22,191,96,M,02/03/1990,Wrestling,Men's 96kg Greco-Roman,,,,
Alin George Moldoveanu,Romania,29,174,74,M,05/03/1983,Shooting,Men's 10m Air Rifle,YES,1,,
Alina Dumitru,Romania,29,158,48,F,8/30/1982,Judo,Women's -48kg,YES,,1,
Alina Lohvynenko,Ukraine,22,180,68,F,7/18/1990,Athletics,Women's 400m; Women's 4 x 400m Relay,,,,
Alina Makarenko,Russian Federation,17,172,,F,1/14/1995,Gymnastics - Rhythmic,Group All-Around,,,,
Alina Maksymenko,Ukraine,21,174,,F,07/10/1991,Gymnastics - Rhythmic,Individual All-Around,,,,
Alina Talay,Belarus,23,164,54,F,5/14/1989,Athletics,Women's 100m Hurdles,,,,
Alina Tumilovich,Belarus,22,178,,F,4/21/1990,Gymnastics - Rhythmic,Group All-Around,,,,
Aline dos Santos,Brazil,27,,,F,05/05/1985,Athletics,Women's 4 x 400m Relay,,,,
Aline Pellegrino,Brazil,30,180,71,F,07/06/1982,Football,Women's Football,,,,
Alireza Haghi,Islamic Republic of Iran,33,178,78,M,02/08/1979,Cycling - Road,Men's Individual Time Trial; Men's Road Race,,,,
Alise Post,United States of America,21,157,58,F,1/17/1991,Cycling - BMX,Women's BMX,,,,
Alisha Tatham,Canada,25,180,75,F,10/14/1986,Basketball,Women's Basketball,,,,
Alisher Gulov,Tajikistan,22,189,,M,8/24/1989,Taekwondo,Men's +80kg,,,,
Alison Cerutti,Brazil,26,203,110,M,12/07/1985,Beach Volleyball,Men's Beach Volleyball,YES,,0.5,
Alison Shanks,New Zealand,29,171,63,F,12/13/1982,Cycling - Track,Women's Team Pursuit,,,,
Alison Williamson,Great Britain,40,175,75,F,11/03/1971,Archery,Women's Individual; Women's Team,,,,
Alison Young,Great Britain,25,181,67,F,5/29/1987,Sailing,Women's Laser Radial,,,,
Alistair Brownlee,Great Britain,24,185,70,M,4/23/1988,Triathlon,Men's Triathlon,YES,1,,
Alistair Davis,South Africa,19,182,72,M,12/01/1992,Shooting,Men's Double Trap,,,,
Alistair Ian Cragg,Ireland,32,183,61,M,6/13/1980,Athletics,Men's 5000m,,,,
Alix Gerniers,Belgium,19,164,58,F,6/29/1993,Hockey,Women's Hockey,,,,
Aliya Garayeva,Azerbaijan,24,164,,F,01/01/1988,Gymnastics - Rhythmic,Individual All-Around,,,,
Aliya Mustafina,Russian Federation,17,162,,F,9/30/1994,Gymnastics - Artistic,Women's Individual All-Around; Women's Team; Women's Qualification,YES,1,0.2,2
Alize Cornet,France,22,173,60,F,1/22/1990,Tennis,Women's Singles; Women's Doubles,,,,
Aljaz Sedej,Slovenia,24,177,81,M,5/30/1988,Judo,Men's -81kg,,,,
Alla Shishkina,Russian Federation,23,170,,F,08/02/1989,Synchronised Swimming,Women's Teams,,,,
Allan Bentsen,Denmark,43,182,85,M,8/21/1968,Table Tennis,Men's Singles,,,,
Allan Gutierrez Castro,Honduras,18,160,50,M,08/12/1993,Swimming,Men's 400m Freestyle,,,,
Allan Norregaard,Denmark,31,173,73,M,3/19/1981,Sailing,Men's 49er,YES,,,0.5
Allegra Lapi,Italy,26,163,55,F,09/08/1985,Water Polo,Women's Water Polo,,,,
Allen Nono,Gabon,19,172,74,M,8/15/1992,Football,Men's Football,,,,
Allison Peter,Virgin Islands (US),20,173,59,F,07/04/1992,Athletics,Women's 100m; Women's 200m,,,,
Allison Pineau,France,23,181,66,F,05/02/1989,Handball,Women's Handball,,,,
Allison Schmitt,United States of America,22,185,74,F,06/07/1990,Swimming,Women's 200m Freestyle; Women's 400m Freestyle; Women's 4x100m Freestyle Relay; Women's 4x200m Freestyle Relay,YES,1.5,1,0.25
Allyson Felix,United States of America,26,168,55,F,11/18/1985,Athletics,Women's 100m; Women's 200m; Women's 4 x 100m Relay,YES,1,,
Almat Kebispayev,Kazakhstan,24,166,60,M,12/12/1987,Wrestling,Men's 60kg Greco-Roman,,,,
Almensh Belete,Belgium,23,156,44,F,7/26/1989,Athletics,Women's 5000m,,,,
Almir Velagic,Germany,30,183,140,M,8/22/1981,Weightlifting,Men's +105kg,,,,
Alona Andruk,Ukraine,25,170,56,F,06/11/1987,Cycling - Road,Women's Road Race,,,,
Alonso Edward,Panama,22,,,M,12/08/1989,Athletics,Men's 200m,,,,
Alphas Leken Kishoyian,Kenya,18,162,56,M,01/01/1994,Athletics,Men's 4 x 400m Relay,,,,
Alphonsine Agahozo,Rwanda,16,160,50,F,7/18/1996,Swimming,Women's 50m Freestyle,,,,
Alvaro Affonso de Miranda Neto,Brazil,39,,,M,02/05/1973,Equestrian,Individual Jumping; Team Jumping; RAHMANNSHOF'S BOGENO,,,,
Alvaro Dominguez,Spain,23,185,81,M,5/16/1989,Football,Men's Football,,,,
Alvaro Marinho,Portugal,36,177,67,M,3/15/1976,Sailing,Men's 470,,,,
Alvaro Martin,Spain,18,182,72,M,6/18/1994,Athletics,Men's 20km Race Walk,,,,
Alvaro Rodriguez,Spain,25,179,68,M,5/25/1987,Athletics,Men's 1500m,,,,
Aly Fathy Omar Aly,Egypt,20,184,78,M,01/02/1992,Football,Men's Football,,,,
Aly Lotfi,Egypt,22,187,79,M,10/14/1989,Football,Men's Football,,,,
Alyn Camara,Germany,23,196,85,M,3/31/1989,Athletics,Men's Long Jump,,,,
Alysia Johnson Montano,United States of America,26,170,59,F,4/23/1986,Athletics,Women's 800m,,,,
Alyssa Anderson,United States of America,21,173,64,F,9/30/1990,Swimming,Women's 4x200m Freestyle Relay,,,,
Alzbeta Dufkova,Czech Republic,22,172,,F,4/19/1990,Synchronised Swimming,Women's Duets,,,,
Amaechi Morton,Nigeria,22,,,M,10/30/1989,Athletics,Men's 400m Hurdles,,,,
Amanda Bingson,United States of America,22,165,91,F,2/20/1990,Athletics,Women's Hammer Throw,,,,
Amanda Clark,United States of America,30,160,59,F,3/26/1982,Sailing,Women's 470,,,,
Amanda Dlamini,South Africa,24,162,61,F,7/22/1988,Football,Women's Football,,,,
Amanda Furrer,United States of America,21,168,56,F,1/17/1991,Shooting,Women's 50m Rifle 3 Positions,,,,
Amanda Kurtovic,Norway,21,176,,F,7/25/1991,Handball,Women's Handball,,,,
Amanda Reason,Canada,18,178,63,F,8/22/1993,Swimming,Women's 4x200m Freestyle Relay,,,,
Amanda Sister,South Africa,22,170,60,F,03/01/1990,Football,Women's Football,,,,
